Code,accident_severity,age_band_of_casualty,age_band_of_driver,age_of_casualty,age_of_driver,bus_or_coach_passenger,car_passenger,carriageway_hazards,casualty_class,casualty_severity,casualty_type,day_of_week,did_police_officer_attend_scene_of_accident,engine_capacity_cc,first_point_of_impact,first_road_class,first_road_number,generic_make_model,hit_object_in_carriageway,hit_object_off_carriageway,junction_detail,junction_location,light_conditions,local_authority_district,pedestrian_location,pedestrian_movement,pedestrian_road_maintenance_worker,road_surface_conditions,road_type,sex_of_casualty,sex_of_driver,skidding_and_overturning,special_conditions_at_site,towing_and_articulation,vehicle_leaving_carriageway,vehicle_left_hand_drive,vehicle_manoeuvre,vehicle_type,weather_conditions
-1,,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,,,,,Data missing or out of range,Data missing or out of range,Data missing or out of range,,Unknown,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range
0,,,,,,Not a bus or coach passenger,Not car passenger,None,,,Pedestrian,,,,Did not impact,,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,,None,None,Not at junction or within 20 metres,Not at or within 20 metres of junction,,,Not a Pedestrian,Not a Pedestrian,No / Not applicable,,,,,None,None,No tow/articulation,Did not leave carriageway,,,,
1,Fatal,0 - 5,0 - 5,,,Boarding,Front seat passenger,1,Driver or rider,Fatal,1,Sunday,Yes,,Front,Motorway,,,Previous accident,Road sign or traffic signal,Roundabout,Approaching junction or waiting/parked at junction approach,Daylight,1,Crossing on pedestrian crossing facility,Crossing from driver's nearside,Yes,Dry,Roundabout,Male,Male,Skidded,Auto traffic signal - out,Articulated vehicle,Nearside,No,Reversing,Pedal cycle,Fine no high winds
2,Serious,6-10,6-10,,,Alighting,Rear seat passenger,Other object on road,Passenger,Serious,Motorcycle 50cc and under rider or passenger,Monday,No,,Back,A(M),,,Road works,Lamp post,Mini-roundabout,Cleared junction or waiting/parked at junction exit,,1,Crossing in zig-zag approach lines,Crossing from nearside - masked by parked or stationary vehicle,Not known,Wet or damp,One way street,Female,Female,Skidded and overturned,Auto signal part defective,Double or multiple trailer,Nearside and rebounded,Yes,Parked,Motorcycle 50cc and under,Raining no high winds
3,Slight,11-15,11-15,,,Standing passenger,,Previous accident,Pedestrian,Slight,Motorcycle 125cc and under rider or passenger,Tuesday,No - accident was reported using a self completion  form (self rep only),,Offside,A,,,,Telegraph or electricity pole,T or staggered junction,Leaving roundabout,,1,Crossing in zig-zag exit lines,Crossing from driver's offside,Probable,Snow,Dual carriageway,,Not known,Jackknifed,Road sign or marking defective or obscured,Caravan,Straight ahead at junction,,Waiting to go - held up,Motorcycle 125cc and under,Snowing no high winds
4,,16 - 20,16 - 20,,,Seated passenger,,Dog on road,,,Motorcycle over 125cc and up to 500cc rider or  passenger,Wednesday,,,Nearside,B,,,Parked vehicle,Tree,,Entering roundabout,Darkness - lights lit,1,Crossing elsewhere within 50m. of pedestrian crossing,Crossing from offside - masked by  parked or stationary vehicle,,Frost or ice,,,,Jackknifed and overturned,Roadworks,Single trailer,Offside on to central reservation,,Slowing or stopping,Motorcycle over 125cc and up to 500cc,Fine + high winds
5,,21 - 25,21 - 25,,,,,Other animal on road,,,Motorcycle over 500cc rider or passenger,Thursday,,,,C,,,Bridge (roof),Bus stop or bus shelter,Slip road,Leaving main road,Darkness - lights unlit,1,"In carriageway, crossing elsewhere","In carriageway, stationary - not crossing  (standing or playing)",,Flood over 3cm. deep,,,,Overturned,Road surface defective,Other tow,Offside on to centrl res + rebounded,,Moving off,Motorcycle over 500cc,Raining + high winds
6,,26 - 35,26 - 35,,,,,Pedestrian in carriageway - not injured,,,,Friday,,,,Unclassified,,,Bridge (side),Central crash barrier,Crossroads,Entering main road,Darkness - no lighting,1,On footway or verge,"In carriageway, stationary - not crossing  (standing or playing) - masked by parked or stationary vehicle",,Oil or diesel,Single carriageway,,,,Oil or diesel,,Offside - crossed central reservation,,U-turn,,Snowing + high winds
7,,36 - 45,36 - 45,,,,,Any animal in carriageway (except ridden horse),,,,Saturday,,,,,,,Bollard or refuge,Near/Offside crash barrier,More than 4 arms (not roundabout),Entering from slip road,Darkness - lighting unknown,1,"On refuge, central island or central reservation","Walking along in carriageway, facing traffic",,Mud,Slip road,,,,Mud,,Offside,,Turning left,,Fog or mist
8,,46 - 55,46 - 55,,,,,,,,Taxi/Private hire car occupant,,,,,,,,Open door of vehicle,Submerged in water,Private drive or entrance,Mid Junction - on roundabout or on main road,,1,"In centre of carriageway - not on refuge, island or central reservation","Walking along in carriageway, back to traffic",,,,,,,,,Offside and rebounded,,Waiting to turn left,Taxi/Private hire car,Other
9,,56 - 65,56 - 65,,,unknown (self reported),unknown (self reported),unknown (self reported),,,Car occupant,,,,unknown (self reported),,,,Central island of roundabout,Entered ditch,Other junction,unknown (self reported),,1,"In carriageway, not crossing",Unknown or other,,unknown (self reported),Unknown,unknown (self reported),,unknown (self reported),unknown (self reported),unknown (self reported),unknown (self reported),Unknown,Turning right,Car,Unknown
10,,66 - 75,66 - 75,,,,,,,,Minibus (8 - 16 passenger seats) occupant,,,,,,,,Kerb,Other permanent object,,,,1,Unknown or other,,,,,,,,,,,,Waiting to turn right,Minibus (8 - 16 passenger seats),
11,,Over 75,Over 75,,,,,,,,Bus or coach occupant (17 or more pass seats),,,,,,,,Other object,Wall or fence,,,,1,,,,,,,,,,,,,Changing lane to left,Bus or coach (17 or more pass seats),
12,,,,,,,,,,,,,,,,,,,Any animal (except ridden horse),,,,,1,,,,,One way street/Slip road,,,,,,,,Changing lane to right,,
13,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,Overtaking moving vehicle - offside,,
14,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,Overtaking static vehicle - offside,,
15,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,Overtaking - nearside,,
16,,,,,,,,,,,Horse rider,,,,,,,,,,,,,1,,,,,,,,,,,,,Going ahead left-hand bend,Ridden horse,
17,,,,,,,,,,,Agricultural vehicle occupant,,,,,,,,,,,,,1,,,,,,,,,,,,,Going ahead right-hand bend,Agricultural vehicle,
18,,,,,,,,,,,Tram occupant,,,,,,,,,,,,,1,,,,,,,,,,,,,Going ahead other,Tram,
19,,,,,,,,,,,Van / Goods vehicle (3.5 tonnes mgw or under) occupant,,,,,,,,,,,,,1,,,,,,,,,,,,,,Van / Goods 3.5 tonnes mgw or under,
20,,,,,,,,,,,Goods vehicle (over 3.5t. and under 7.5t.) occupant,,,,,,,,,,,,,1,,,,,,,,,,,,,,Goods over 3.5t. and under 7.5t,
21,,,,,,,,,,,Goods vehicle (7.5 tonnes mgw and over) occupant,,,,,,,,,,,,,1,,,,,,,,,,,,,,Goods 7.5 tonnes mgw and over,
22,,,,,,,,,,,Mobility scooter rider,,,,,,,,,,,,,1,,,,,,,,,,,,,,Mobility scooter,
23,,,,,,,,,,,Electric motorcycle rider or passenger,,,,,,,,,,,,,1,,,,,,,,,,,,,,Electric motorcycle,
24,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
90,,,,,,,,,,,Other vehicle occupant,,,,,,,,,,,,,1,,,,,,,,,,,,,,Other vehicle,
91,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
97,,,,,,,,,,,Motorcycle - unknown cc rider or passenger,,,,,,,,,,,,,,,,,,,,,,,,,,,Motorcycle - unknown cc,
98,,,,,,,,,,,Goods vehicle (unknown weight) occupant,,,,,,,,,,,,,,,,,,,,,,,,,,,Goods vehicle - unknown weight,
99,,,,,,,,,,,Unknown vehicle type (self rep only),,,,,,,,unknown (self reported),unknown (self reported),unknown (self reported),,,,,,,,,,,,,,,,unknown (self reported),Unknown vehicle type (self rep only),
100,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
103,,,,,,,,,,,Motorcycle - Scooter (1979-1998),,,,,,,,,,,,,,,,,,,,,,,,,,,Motorcycle - Scooter (1979-1998),
104,,,,,,,,,,,Motorcycle (1979-1998),,,,,,,,,,,,,1,,,,,,,,,,,,,,Motorcycle (1979-1998),
105,,,,,,,,,,,Motorcycle - Combination (1979-1998),,,,,,,,,,,,,,,,,,,,,,,,,,,Motorcycle - Combination (1979-1998),
106,,,,,,,,,,,Motorcycle over 125cc (1999-2004),,,,,,,,,,,,,1,,,,,,,,,,,,,,Motorcycle over 125cc (1999-2004),
107,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
108,,,,,,,,,,,Taxi (excluding private hire cars) (1979-2004),,,,,,,,,,,,,,,,,,,,,,,,,,,Taxi (excluding private hire cars) (1979-2004),
109,,,,,,,,,,,Car (including private hire cars) (1979-2004),,,,,,,,,,,,,1,,,,,,,,,,,,,,Car (including private hire cars) (1979-2004),
110,,,,,,,,,,,Minibus/Motor caravan (1979-1998),,,,,,,,,,,,,1,,,,,,,,,,,,,,Minibus/Motor caravan (1979-1998),
112,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
113,,,,,,,,,,,Goods over 3.5 tonnes (1979-1998),,,,,,,,,,,,,,,,,,,,,,,,,,,Goods over 3.5 tonnes (1979-1998),
114,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
